disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,hash,lastRefresh,id
1252,1998-10-05T00:00:00.000Z,WA STORMS & FLOODING 5/26/98,1998-05-26T00:00:00.000Z,1998-05-29T00:00:00.000Z,Major Disaster,WA,Washington                    ,Severe Storm(s),1999-02-26T00:00:00.000Z,2003-02-04T00:00:00.000Z,2003-01-08T00:00:00.000Z,63b7f5fae7f32faa7dab74354f756c76,2018-03-09T18:42:01.192Z,5aa2d579cb4f0f7020b17895
1246,1998-09-23T00:00:00.000Z,HURRICANE GEORGES/TS FRANCES,1998-09-09T00:00:00.000Z,1998-10-04T00:00:00.000Z,Major Disaster,LA,Louisiana                     ,Hurricane,1999-02-25T00:00:00.000Z,2016-03-02T00:00:00.000Z,2016-02-24T00:00:00.000Z,7f377faecfb665b8c17af8be502139e1,2018-03-09T18:42:01.194Z,5aa2d579cb4f0f7020b17897
1243,1998-09-04T00:00:00.000Z,HURRICANE BONNIE,1998-08-25T00:00:00.000Z,1998-09-01T00:00:00.000Z,Major Disaster,SC,South Carolina                ,Hurricane,1999-02-24T00:00:00.000Z,2005-07-15T00:00:00.000Z,2005-06-28T00:00:00.000Z,eb416ea305d6a1fd23ace8da8bdeb6c3,2018-03-09T18:42:01.196Z,5aa2d579cb4f0f7020b1789a
1250,1998-09-30T00:00:00.000Z,HURRICANE GEORGES - 18 SEP 98,1998-09-25T00:00:00.000Z,1998-10-06T00:00:00.000Z,Major Disaster,AL,Alabama                       ,Hurricane,1999-02-26T00:00:00.000Z,2008-09-12T00:00:00.000Z,2008-08-19T00:00:00.000Z,6b708aba7c7f2e379e87b031ec0b28ca,2018-03-09T18:42:01.177Z,5aa2d579cb4f0f7020b1787d
2237,1998-09-03T00:00:00.000Z,BALL PARK FIRE   (COWLITZ),1998-09-03T00:00:00.000Z,1998-09-03T00:00:00.000Z,Fire Suppression,WA,Washington                    ,Fire,1998-11-20T00:00:00.000Z,2003-07-16T00:00:00.000Z,2003-05-15T00:00:00.000Z,24b41bec07c31f55c74cf34799a4b0f1,2018-03-09T18:42:01.181Z,5aa2d579cb4f0f7020b17882
1254,1998-10-14T00:00:00.000Z,"SEVERE STORMS, FLOODING AND TORNADOES",1998-10-01T00:00:00.000Z,1998-10-08T00:00:00.000Z,Major Disaster,KS,Kansas                        ,Severe Storm(s),1999-03-01T00:00:00.000Z,2007-01-19T00:00:00.000Z,2007-01-08T00:00:00.000Z,939a1a4ec4558cdba8b6633d2a33732c,2018-03-09T18:42:01.184Z,5aa2d579cb4f0f7020b17887
2240,1998-09-04T00:00:00.000Z,FRONTAGE FIRE,1998-09-04T00:00:00.000Z,1998-09-04T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,843b86cd84941cc2a47889abf496f08d,2018-03-09T18:42:01.187Z,5aa2d579cb4f0f7020b1788c
1268,1999-02-17T00:00:00.000Z,WY - WINTER STORM  10/5/98,1998-10-05T00:00:00.000Z,1998-10-09T00:00:00.000Z,Major Disaster,WY,Wyoming                       ,Severe Ice Storm,1999-02-17T00:00:00.000Z,2009-01-30T00:00:00.000Z,2004-02-18T00:00:00.000Z,e4bc6e4ec530b1037017c9cada913397,2018-03-09T18:42:01.190Z,5aa2d579cb4f0f7020b17891
3132,1998-09-28T00:00:00.000Z,HURRICANE GEORGES,1998-09-28T00:00:00.000Z,1998-10-05T00:00:00.000Z,Emergency,MS,Mississippi                   ,Hurricane,1998-09-29T00:00:00.000Z,2012-05-11T00:00:00.000Z,2012-05-09T00:00:00.000Z,746af7afa86a4ee6278945a5d24d4b3d,2018-03-09T18:42:01.193Z,5aa2d579cb4f0f7020b17896
2236,1998-08-25T00:00:00.000Z,MOLOKAI FIRE 98  (MAUI),1998-08-25T00:00:00.000Z,1998-08-25T00:00:00.000Z,Fire Suppression,HI,Hawaii                        ,Fire,1998-11-20T00:00:00.000Z,2001-09-09T00:00:00.000Z,1999-08-26T00:00:00.000Z,707afd0306a33b257c109a846c95c33d,2018-03-09T18:42:01.421Z,5aa2d579cb4f0f7020b1789b
2238,1998-09-02T00:00:00.000Z,FM 362 FIRE,1998-09-02T00:00:00.000Z,1998-09-02T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,13cdc9b52cac58efa44fd266e5fbe003,2018-03-09T18:42:01.425Z,5aa2d579cb4f0f7020b178a0
2223,1998-07-26T00:00:00.000Z,HERRON FIRE ,1998-07-26T00:00:00.000Z,1998-07-26T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,875f4fdaa94ffbf89f1220a1186b39f2,2018-03-09T18:42:01.424Z,5aa2d579cb4f0f7020b1789e
2233,1998-08-03T00:00:00.000Z,UNION CHAPEL II FIRE,1998-08-03T00:00:00.000Z,1998-08-04T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,c5a01913a93caba1e288d486f6ea1a5b,2018-03-09T18:42:01.423Z,5aa2d579cb4f0f7020b1789c
1240,1998-08-27T00:00:00.000Z,HURRICANE BONNIE,1998-08-20T00:00:00.000Z,1998-09-01T00:00:00.000Z,Major Disaster,NC,North Carolina                ,Hurricane,1999-02-24T00:00:00.000Z,2006-08-01T00:00:00.000Z,2006-07-18T00:00:00.000Z,327b44580d896d23c44f59c9e8a21d36,2018-03-09T18:42:01.425Z,5aa2d579cb4f0f7020b1789f
2235,1998-08-05T00:00:00.000Z,DENSON SPRINGS FIRE,1998-08-05T00:00:00.000Z,1998-08-12T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-11-20T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,c8551ee49b9418badcd22efd570e1a3d,2018-03-09T18:42:01.426Z,5aa2d579cb4f0f7020b178a1
2228,1998-07-31T00:00:00.000Z,PINEY CREEK FIRE,1998-07-31T00:00:00.000Z,1998-08-01T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,a61ac67383553f2157c7bf7f74605bc9,2018-03-09T18:42:01.424Z,5aa2d579cb4f0f7020b1789d
2231,1998-08-02T00:00:00.000Z,CROSSROADS FIRE,1998-08-02T00:00:00.000Z,1998-08-03T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,e3fbf399e15e4a29f34832061f6fb10d,2018-03-09T18:42:01.427Z,5aa2d579cb4f0f7020b178a2
1238,1998-08-12T00:00:00.000Z,SEVERE STORMS AND FLOODING,1998-08-05T00:00:00.000Z,1998-08-15T00:00:00.000Z,Major Disaster,WI,Wisconsin                     ,Severe Storm(s),1998-08-13T00:00:00.000Z,2006-08-01T00:00:00.000Z,2006-07-20T00:00:00.000Z,8fa409f055012fa76eef8346816df92d,2018-03-09T18:42:01.431Z,5aa2d579cb4f0f7020b178a5
1237,1998-08-05T00:00:00.000Z,SEVERE STORMS AND HIGH WINDS,1998-07-21T00:00:00.000Z,1998-07-22T00:00:00.000Z,Major Disaster,MI,Michigan                      ,Severe Storm(s),1998-08-05T00:00:00.000Z,2005-05-13T00:00:00.000Z,2005-05-03T00:00:00.000Z,9f318cf0d1f61577e4ad4473db337577,2018-03-09T18:42:01.430Z,5aa2d579cb4f0f7020b178a3
2230,1998-08-01T00:00:00.000Z,WEATHERFORD FIRE,1998-08-01T00:00:00.000Z,1998-08-02T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,74e10df19a0b0335ed8758ad81394be8,2018-03-09T18:42:01.431Z,5aa2d579cb4f0f7020b178a4
2232,1998-08-02T00:00:00.000Z,HIGHWAY LAKE FIRE,1998-08-02T00:00:00.000Z,1998-08-03T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,78963dbddaf4c55a83e306531bb04cdc,2018-03-09T18:42:01.432Z,5aa2d579cb4f0f7020b178a6
2227,1998-07-30T00:00:00.000Z,WHITE BLUFF FIRE,1998-07-30T00:00:00.000Z,1998-08-03T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,452c04bf5931c642286a6e8081b5a9b4,2018-03-09T18:42:01.433Z,5aa2d579cb4f0f7020b178a7
1231,1998-07-02T00:00:00.000Z,SEVERE STORMS AND FLOODING,1998-06-12T00:00:00.000Z,1998-07-02T00:00:00.000Z,Major Disaster,NH,New Hampshire                 ,Severe Storm(s),1998-07-02T00:00:00.000Z,2006-06-22T00:00:00.000Z,2006-05-22T00:00:00.000Z,13f702803eb894f6690a769e847e55fb,2018-03-09T18:42:01.438Z,5aa2d579cb4f0f7020b178ab
2218,1998-07-10T00:00:00.000Z,STERLING FIRE ,1998-07-10T00:00:00.000Z,1998-07-12T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-08-18T00:00:00.000Z,2003-05-29T00:00:00.000Z,2000-07-20T00:00:00.000Z,6cf55327ac2192b063ef0b9c843936ad,2018-03-09T18:42:01.437Z,5aa2d579cb4f0f7020b178aa
1236,1998-07-24T00:00:00.000Z,"SEVERE STORMS,STRAIGH LINE WINDS, TORNADOES,RAIN,AND FLOODI",1998-06-18T00:00:00.000Z,1998-06-30T00:00:00.000Z,Major Disaster,WI,Wisconsin,Severe Storm(s),1998-08-03T00:00:00.000Z,1998-12-28T00:00:00.000Z,,ccff868779740a6441e80ee39371fccb,2019-10-10T20:03:54.327Z,5aa2d579cb4f0f7020b178b0
2205,1998-06-19T00:00:00.000Z,WALDO SOUTHEAST FIRE,1998-06-19T00:00:00.000Z,1998-06-19T00:00:00.000Z,Fire Suppression,FL,Florida                       ,Fire,1998-08-13T00:00:00.000Z,2003-05-29T00:00:00.000Z,1998-06-19T00:00:00.000Z,89a96f0853ddae58c323924cd60d11d0,2018-03-09T18:42:01.440Z,5aa2d579cb4f0f7020b178af
2212,1998-06-21T00:00:00.000Z,CALOOSHATTCHEE FIRE COMPLEX,1998-06-21T00:00:00.000Z,1998-06-21T00:00:00.000Z,Fire Suppression,FL,Florida                       ,Fire,1998-08-13T00:00:00.000Z,2003-05-29T00:00:00.000Z,1998-06-21T00:00:00.000Z,82ff747169bb803dcc63ddab87f4961e,2018-03-09T18:42:01.444Z,5aa2d579cb4f0f7020b178b5
2213,1998-06-26T00:00:00.000Z,OSHA CANYON COMPLEX  (COLFAX),1998-06-24T00:00:00.000Z,1998-07-01T00:00:00.000Z,Fire Suppression,NM,New Mexico                    ,Fire,1998-08-13T00:00:00.000Z,2003-02-28T00:00:00.000Z,2002-01-10T00:00:00.000Z,6df36bb533359aee519ce5b392c00055,2018-03-09T18:42:01.444Z,5aa2d579cb4f0f7020b178b4
1215,1998-04-20T00:00:00.000Z,"SEVERE STORMS, TORNADOES AND FLOODING",1998-04-16T00:00:00.000Z,1998-05-18T00:00:00.000Z,Major Disaster,TN,Tennessee                     ,Severe Storm(s),1998-04-20T00:00:00.000Z,2008-10-24T00:00:00.000Z,2008-09-30T00:00:00.000Z,843bf481ac1e04050b382b3838330e75,2018-03-09T18:42:01.447Z,5aa2d579cb4f0f7020b178ba
2199,1998-05-15T00:00:00.000Z,CIBOLO CREEK FIRE,1998-05-20T00:00:00.000Z,1998-05-13T00:00:00.000Z,Fire Suppression,TX,Texas                         ,Fire,1998-05-20T00:00:00.000Z,2003-05-07T00:00:00.000Z,2000-07-20T00:00:00.000Z,fe1fff88af1a45b0ff5054002d1f43a9,2018-03-09T18:42:01.447Z,5aa2d579cb4f0f7020b178b9
1224,1998-06-23T00:00:00.000Z,HEAVY RAINS AND FLOODING,1998-06-13T00:00:00.000Z,1998-07-06T00:00:00.000Z,Major Disaster,MA,Massachusetts                 ,Flood,1998-06-23T00:00:00.000Z,2006-04-21T00:00:00.000Z,2006-04-11T00:00:00.000Z,fb0bd20a001a31bfbc8fcda53cace915,2018-03-09T18:42:01.450Z,5aa2d579cb4f0f7020b178bf
